"version","World Size","iterations","threads","block size x","block size y","time"
"cuda","128","1",1,"16","8","0.296263"
"omp","8","2","8",0,0,"0.00758763"
"cuda","64","2",1,"16","64","0.332707"
"omp","128","3","5",0,0,"0.217048"
"cuda","256","3",1,"64","8","0.289693"
"cuda","128","2",1,"32","24","0.294514"
"cuda","256","3",1,"32","64","launching update_cell_kernel: invalid configuration argu"
"cuda","8","3",1,"64","64","launching update_cell_kernel: invalid configuration argu"
"cuda","256","3",1,"64","16","0.311809"
"cuda","256","2",1,"24","32","0.323703"
"omp","16","3","8",0,0,"0.00359213"
"cuda","16","1",1,"24","64","launching update_cell_kernel: invalid configuration argu"
"cuda","128","3",1,"64","24","launching update_cell_kernel: invalid configuration argu"
"cuda","16","2",1,"16","64","0.349135"
"cuda","32","2",1,"8","16","0.251499"
"cuda","256","1",1,"16","32","0.295246"
"cuda","32","3",1,"24","64","launching update_cell_kernel: invalid configuration argu"
"cuda","64","1",1,"64","64","launching update_cell_kernel: invalid configuration argu"
"omp","64","2","2",0,0,"0.125035"
"cuda","32","2",1,"32","32","0.29289"
"omp","16","1","3",0,0,"0.00554499"
"cuda","32","1",1,"24","16","0.381056"
"omp","32","2","6",0,0,"0.0117235"
"cuda","256","2",1,"16","24","0.361037"
"cuda","128","3",1,"64","64","launching update_cell_kernel: invalid configuration argu"
"omp","128","2","7",0,0,"0.170209"
"cuda","128","2",1,"64","24","launching update_cell_kernel: invalid configuration argu"
"cuda","64","3",1,"24","32","0.306403"
"cuda","128","2",1,"32","8","0.400798"
"cuda","32","3",1,"16","32","0.286031"
"cuda","16","3",1,"24","64","launching update_cell_kernel: invalid configuration argu"
"omp","16","3","2",0,0,"0.00795021"
"cuda","64","2",1,"24","32","0.290139"
"cuda","32","1",1,"8","64","0.323204"
"omp","64","1","2",0,0,"0.134831"
"cuda","16","1",1,"32","24","0.28869"
"cuda","256","1",1,"8","8","0.553598"
"cuda","64","3",1,"16","8","0.291148"
"cuda","16","3",1,"64","8","0.286065"
"serial","256","3",1,0,0,"2.25969"
"cuda","16","2",1,"8","24","0.238445"
"cuda","8","2",1,"64","64","launching update_cell_kernel: invalid configuration argu"
"cuda","16","1",1,"32","8","0.338449"
"cuda","32","1",1,"32","8","0.290154"
"omp","256","1","5",0,0,"0.779029"
"cuda","64","2",1,"16","8","0.296831"
"omp","32","1","7",0,0,"0.0159972"
"cuda","128","2",1,"8","24","0.288319"
"cuda","8","3",1,"8","32","0.242105"
"cuda","128","3",1,"24","32","0.353585"
"cuda","8","3",1,"32","16","0.279484"
"cuda","8","2",1,"16","16","0.28227"
"cuda","8","2",1,"64","16","0.297102"
"cuda","128","3",1,"24","16","0.286935"
"omp","16","2","3",0,0,"0.0116647"
"omp","16","2","6",0,0,"0.00978098"
"cuda","32","1",1,"24","32","0.287905"
"cuda","256","1",1,"64","32","launching update_cell_kernel: invalid configuration argu"
"cuda","32","1",1,"16","32","0.239784"
"cuda","256","1",1,"16","24","0.306402"
"omp","16","2","2",0,0,"0.0079503"
"omp","8","3","5",0,0,"0.00734975"
"cuda","32","2",1,"16","24","0.276753"
"cuda","32","2",1,"8","32","0.318381"
"cuda","256","2",1,"16","64","0.330679"
"cuda","16","2",1,"8","64","0.325892"
"cuda","8","1",1,"24","64","launching update_cell_kernel: invalid configuration argu"
"cuda","16","3",1,"24","8","0.286759"
"cuda","8","3",1,"8","24","0.330298"
"cuda","128","2",1,"24","16","0.298033"
"cuda","32","2",1,"24","8","0.302122"
"cuda","256","1",1,"24","32","0.345897"
"cuda","8","3",1,"8","64","0.334995"
"omp","32","3","1",0,0,"0.0351045"
"cuda","256","3",1,"16","8","0.295129"
"omp","128","1","2",0,0,"0.50117"
"cuda","64","1",1,"24","8","0.330005"
"omp","128","2","5",0,0,"0.21491"
"cuda","8","1",1,"8","32","0.279745"
"omp","16","3","3",0,0,"0.0115911"
"omp","64","1","7",0,0,"0.045405"
"cuda","8","1",1,"24","24","0.311686"
"cuda","256","1",1,"8","64","0.353329"
"omp","128","1","1",0,0,"0.572867"
"cuda","64","1",1,"32","32","0.320383"
"serial","32","2",1,0,0,"0.0347102"
"omp","128","2","4",0,0,"0.265452"
"omp","16","1","5",0,0,"0.0102753"
"cuda","128","3",1,"8","24","0.279898"
"serial","8","2",1,0,0,"0.00220154"
"omp","8","2","4",0,0,"0.00187556"
"cuda","128","1",1,"16","24","0.284421"
"cuda","32","2",1,"32","16","0.296807"
"cuda","32","1",1,"32","64","launching update_cell_kernel: invalid configuration argu"
"cuda","256","1",1,"16","8","0.3514"
"omp","8","2","3",0,0,"0.00764333"
"cuda","64","2",1,"16","32","0.341872"
"omp","16","1","1",0,0,"0.00872791"
"cuda","32","1",1,"16","24","0.33374"
"cuda","256","1",1,"24","24","0.314465"
"cuda","256","3",1,"24","8","0.462047"
"cuda","8","3",1,"8","8","0.298927"
"cuda","256","3",1,"8","32","0.295132"
"cuda","16","1",1,"8","8","0.276389"
"cuda","32","1",1,"64","24","launching update_cell_kernel: invalid configuration argu"
"cuda","32","1",1,"8","8","0.487933"
"omp","64","1","1",0,0,"0.140521"
"omp","256","3","7",0,0,"0.603433"
"cuda","256","3",1,"24","24","0.290688"
"omp","256","3","6",0,0,"0.708556"
"omp","64","3","2",0,0,"0.130296"
"cuda","16","3",1,"32","32","0.309865"
"cuda","16","2",1,"64","8","0.288423"
"omp","32","1","6",0,0,"0.0138814"
"cuda","32","3",1,"24","32","0.289467"
"cuda","128","1",1,"24","16","0.288231"
"cuda","128","2",1,"32","64","launching update_cell_kernel: invalid configuration argu"
"cuda","256","3",1,"16","32","0.291362"
"omp","64","3","6",0,0,"0.044339"
"cuda","256","2",1,"32","64","launching update_cell_kernel: invalid configuration argu"
"serial","32","1",1,0,0,"0.035015"
"cuda","256","1",1,"8","24","0.286716"
"cuda","32","1",1,"24","64","launching update_cell_kernel: invalid configuration argu"
"cuda","64","3",1,"24","8","0.277535"
"cuda","32","1",1,"64","8","0.302129"
"cuda","32","2",1,"24","24","0.286869"
"cuda","8","2",1,"32","8","0.285139"
"omp","16","3","4",0,0,"0.0106397"
"cuda","256","2",1,"8","32","0.290683"
"cuda","64","3",1,"32","24","0.307659"
"cuda","64","1",1,"16","32","0.315174"
"cuda","64","2",1,"16","24","0.296672"
"omp","256","2","1",0,0,"2.54285"
"cuda","256","2",1,"64","24","launching update_cell_kernel: invalid configuration argu"
"cuda","128","3",1,"16","64","0.34245"
"cuda","64","2",1,"64","64","launching update_cell_kernel: invalid configuration argu"
"cuda","256","2",1,"64","32","launching update_cell_kernel: invalid configuration argu"
"cuda","32","3",1,"32","32","0.290215"
"cuda","8","2",1,"24","64","launching update_cell_kernel: invalid configuration argu"
"cuda","256","1",1,"8","16","0.281708"
"cuda","32","3",1,"64","16","0.298011"
"omp","64","2","1",0,0,"0.140656"
"cuda","8","3",1,"64","8","0.289043"
"omp","256","3","2",0,0,"2.11448"
"cuda","128","1",1,"8","16","0.301834"
"cuda","128","1",1,"32","32","0.313364"
"cuda","16","2",1,"64","16","0.284438"
"serial","128","2",1,0,0,"0.556813"
"cuda","16","1",1,"16","24","0.284423"
"cuda","8","1",1,"64","8","0.281291"
"cuda","32","3",1,"8","64","0.340473"
"cuda","64","3",1,"32","64","launching update_cell_kernel: invalid configuration argu"
"cuda","32","2",1,"64","16","0.289254"
"cuda","32","1",1,"8","16","0.290578"
"cuda","128","1",1,"16","64","0.300291"
"cuda","16","3",1,"64","24","launching update_cell_kernel: invalid configuration argu"
"cuda","16","3",1,"16","64","0.316287"
"cuda","64","2",1,"8","24","0.234991"
"cuda","64","2",1,"8","16","0.247513"
"cuda","64","3",1,"32","16","0.385089"
"serial","256","1",1,0,0,"2.26373"
"omp","32","3","6",0,0,"0.017767"
"cuda","64","2",1,"64","16","0.304392"
"cuda","8","3",1,"24","64","launching update_cell_kernel: invalid configuration argu"
"cuda","8","2",1,"24","24","0.320061"
"cuda","8","3",1,"24","32","0.275425"
"cuda","16","3",1,"8","16","0.275211"
"cuda","128","1",1,"64","16","0.251523"
"cuda","32","3",1,"32","64","launching update_cell_kernel: invalid configuration argu"
"cuda","16","2",1,"8","32","0.296616"
"cuda","256","2",1,"16","8","0.25161"
"cuda","64","2",1,"64","8","0.297532"
"omp","32","1","1",0,0,"0.0352783"
"cuda","8","2",1,"64","8","0.297958"
"omp","8","3","7",0,0,"0.00578404"
"cuda","8","2",1,"8","32","0.278239"
"cuda","256","2",1,"16","32","0.315831"
"omp","256","2","8",0,0,"0.554979"
"omp","8","1","7",0,0,"0.00715058"
"cuda","32","1",1,"32","16","0.285851"
"cuda","8","1",1,"32","8","0.317753"
"omp","32","2","3",0,0,"0.0209882"
"cuda","8","2",1,"8","24","0.291965"
"cuda","64","3",1,"32","8","0.304358"
"cuda","8","3",1,"16","8","0.278298"
"cuda","128","3",1,"32","16","0.304276"
"cuda","64","2",1,"32","8","0.29005"
"cuda","8","1",1,"64","16","0.277347"
"cuda","16","1",1,"8","16","0.411195"
"cuda","128","1",1,"8","24","0.330229"
"omp","128","1","5",0,0,"0.209158"
"cuda","128","1",1,"64","8","0.304821"
"omp","256","3","1",0,0,"2.35113"
"cuda","16","3",1,"64","64","launching update_cell_kernel: invalid configuration argu"
"cuda","64","3",1,"16","24","0.326013"
"omp","8","3","3",0,0,"0.0077166"
"cuda","8","1",1,"16","8","0.306573"
"cuda","32","3",1,"64","8","0.28846"
"cuda","32","2",1,"16","32","0.28867"
"cuda","8","2",1,"64","32","launching update_cell_kernel: invalid configuration argu"
"cuda","32","1",1,"16","16","0.346673"
"cuda","8","1",1,"8","8","0.288604"
"omp","64","1","3",0,0,"0.0867234"
"cuda","32","1",1,"32","24","1.36815"
"cuda","32","2",1,"64","64","launching update_cell_kernel: invalid configuration argu"
"omp","64","2","5",0,0,"0.0598478"
"cuda","16","2",1,"24","8","0.29505"
"omp","128","3","7",0,0,"0.152176"
"cuda","16","2",1,"32","32","0.253117"
"omp","128","3","4",0,0,"0.267857"
"omp","16","2","8",0,0,"0.00952001"
"cuda","256","1",1,"24","64","launching update_cell_kernel: invalid configuration argu"
"cuda","64","2",1,"8","32","0.335957"
"cuda","64","3",1,"64","24","launching update_cell_kernel: invalid configuration argu"
"cuda","16","1",1,"16","32","0.290107"
"cuda","8","3",1,"24","24","0.285383"
"cuda","128","1",1,"64","24","launching update_cell_kernel: invalid configuration argu"
"cuda","16","2",1,"64","64","launching update_cell_kernel: invalid configuration argu"
"cuda","16","3",1,"32","24","0.297349"
"cuda","16","3",1,"32","64","launching update_cell_kernel: invalid configuration argu"
"omp","256","1","2",0,0,"2.09795"
"cuda","256","3",1,"24","64","launching update_cell_kernel: invalid configuration argu"
"omp","64","2","3",0,0,"0.0983292"
"cuda","32","3",1,"32","8","0.286348"
"omp","128","2","1",0,0,"0.562836"
"cuda","32","1",1,"64","16","0.298606"
"cuda","128","3",1,"16","24","0.293856"
"cuda","64","1",1,"8","8","0.441111"
"cuda","8","1",1,"64","24","launching update_cell_kernel: invalid configuration argu"
"cuda","256","3",1,"32","24","0.303563"
"serial","8","1",1,0,0,"0.00225429"
"cuda","256","3",1,"24","32","0.301736"
"cuda","16","1",1,"64","32","launching update_cell_kernel: invalid configuration argu"
"cuda","64","1",1,"8","64","0.316452"
"cuda","128","3",1,"8","64","0.357205"
"cuda","256","1",1,"64","8","0.296349"
"cuda","64","2",1,"24","16","0.91646"
"omp","8","3","6",0,0,"0.00349132"
"cuda","16","2",1,"16","8","0.292981"
"cuda","32","2",1,"16","16","0.304232"
"cuda","8","1",1,"64","64","launching update_cell_kernel: invalid configuration argu"
"cuda","128","3",1,"24","24","0.288047"
"cuda","16","2",1,"16","32","0.276683"
"cuda","8","1",1,"24","16","0.324581"
"cuda","8","3",1,"16","24","0.311498"
"omp","256","1","7",0,0,"0.57742"
"cuda","64","1",1,"32","24","0.355225"
"omp","8","1","5",0,0,"0.00144285"
"cuda","256","2",1,"64","8","0.305998"
"cuda","256","1",1,"32","16","0.297278"
"cuda","64","2",1,"32","32","0.29782"
"omp","128","2","3",0,0,"0.305018"
"cuda","128","3",1,"64","32","launching update_cell_kernel: invalid configuration argu"
"omp","32","3","7",0,0,"0.0178208"
"omp","8","3","1",0,0,"0.00224621"
"cuda","128","1",1,"24","24","0.288817"
"cuda","256","3",1,"32","16","0.300223"
"omp","256","3","5",0,0,"0.776188"
"cuda","32","3",1,"64","32","launching update_cell_kernel: invalid configuration argu"
"cuda","256","1",1,"64","24","launching update_cell_kernel: invalid configuration argu"
"omp","256","2","2",0,0,"2.11574"
"cuda","64","3",1,"64","8","0.2946"
"omp","256","2","3",0,0,"1.10721"
"cuda","128","3",1,"16","16","0.428944"
"cuda","8","3",1,"16","64","0.284557"
"cuda","128","2",1,"24","8","0.322931"
"omp","64","1","6",0,0,"0.0514566"
"cuda","16","3",1,"16","8","0.368099"
"cuda","16","3",1,"16","16","0.281089"
"cuda","8","1",1,"16","64","0.320035"
"cuda","32","1",1,"24","8","0.288335"
"serial","16","3",1,0,0,"0.00878876"
"omp","256","1","6",0,0,"0.72069"
"cuda","8","1",1,"32","16","0.31809"
"cuda","32","2",1,"16","8","0.299584"
"cuda","128","2",1,"64","64","launching update_cell_kernel: invalid configuration argu"
"cuda","64","1",1,"16","24","0.351079"
"cuda","8","2",1,"8","64","0.301558"
"omp","32","1","3",0,0,"0.0278569"
"omp","16","3","6",0,0,"0.00955203"
"omp","8","2","1",0,0,"0.00225535"
"cuda","16","2",1,"32","8","0.32654"
"cuda","16","2",1,"32","64","launching update_cell_kernel: invalid configuration argu"
"cuda","64","3",1,"24","16","0.298487"
"omp","8","2","2",0,0,"0.00214527"
"cuda","32","2",1,"64","24","launching update_cell_kernel: invalid configuration argu"
"omp","32","2","2",0,0,"0.0312087"
"cuda","16","3",1,"8","32","0.327018"
"cuda","32","1",1,"16","64","0.24408"
"cuda","128","3",1,"8","32","0.237153"
"cuda","32","2",1,"8","8","0.284405"
"omp","8","2","7",0,0,"0.0170243"
"cuda","32","2",1,"16","64","0.327043"
"cuda","16","2",1,"8","16","0.416097"
"serial","8","3",1,0,0,"0.00242"
"cuda","16","3",1,"8","8","0.437867"
"cuda","256","2",1,"64","16","0.266908"
"cuda","256","1",1,"32","24","0.299598"
"cuda","16","1",1,"24","32","0.709151"
"cuda","16","1",1,"64","8","0.285639"
"cuda","256","2",1,"32","32","0.296974"
"cuda","32","3",1,"8","24","0.294488"
"omp","128","3","3",0,0,"0.284901"
"cuda","128","1",1,"24","32","0.292961"
"omp","128","3","1",0,0,"0.575818"
"omp","64","1","4",0,0,"0.0663433"
"cuda","16","1",1,"16","16","0.356772"
"cuda","256","2",1,"8","64","0.318292"
"cuda","32","3",1,"8","16","0.233773"
"cuda","128","2",1,"8","32","0.343646"
"cuda","128","3",1,"64","8","0.349458"
"cuda","256","1",1,"64","64","launching update_cell_kernel: invalid configuration argu"
"omp","256","1","3",0,0,"1.1872"
"cuda","16","2",1,"16","16","0.304343"
"serial","64","2",1,0,0,"0.139301"
"omp","32","1","2",0,0,"0.0311226"
"omp","256","3","3",0,0,"1.11307"
"omp","16","2","1",0,0,"0.00855889"
"omp","16","3","7",0,0,"0.0106563"
"cuda","8","1",1,"16","24","0.308994"
"cuda","16","3",1,"16","24","0.352762"
"omp","8","3","4",0,0,"0.00146697"
"cuda","64","3",1,"16","32","0.302392"
"cuda","32","1",1,"24","24","0.283594"
"omp","256","3","4",0,0,"1.09313"
"cuda","16","3",1,"32","8","0.327678"
"cuda","32","3",1,"24","24","0.251481"
"omp","16","1","6",0,0,"0.00498456"
"cuda","256","2",1,"24","24","0.297173"
"cuda","64","2",1,"32","24","0.322618"
"omp","32","3","3",0,0,"0.034297"
"cuda","32","3",1,"8","8","0.483855"
"cuda","256","2",1,"32","24","0.307285"
"cuda","256","2",1,"24","64","launching update_cell_kernel: invalid configuration argu"
"omp","16","1","8",0,0,"0.00927665"
"cuda","16","2",1,"24","16","0.29891"
"cuda","64","1",1,"64","24","launching update_cell_kernel: invalid configuration argu"
"cuda","64","1",1,"8","24","0.290368"
"cuda","32","2",1,"64","8","0.304142"
"cuda","8","3",1,"64","16","0.290384"
"cuda","128","2",1,"32","32","0.306197"
"cuda","256","3",1,"8","24","0.328345"
"cuda","8","3",1,"16","16","0.331888"
"cuda","256","2",1,"24","16","0.35898"
"cuda","128","2",1,"16","64","0.33782"
"cuda","256","2",1,"24","8","0.356796"
"cuda","64","3",1,"24","64","launching update_cell_kernel: invalid configuration argu"
"cuda","128","1",1,"16","16","0.286562"
"cuda","8","1",1,"8","24","0.299513"
"omp","64","2","8",0,0,"0.0384711"
"omp","128","1","4",0,0,"0.268795"
"cuda","256","1",1,"24","8","0.291964"
"cuda","64","1",1,"8","32","0.315487"
"cuda","256","2",1,"16","16","0.30554"
"cuda","64","2",1,"24","8","0.285975"
"omp","8","3","2",0,0,"0.00221245"
"cuda","64","1",1,"24","32","0.547053"
