"version","World Size","iterations","threads","block size x","block size y","time"
"cuda","8","2",1,"32","64","launching update_cell_kernel: invalid configuration argu"
"cuda","128","2",1,"64","8","0.339119"
"cuda","64","1",1,"16","8","0.338068"
"cuda","32","3",1,"16","16","0.324071"
"cuda","64","3",1,"16","64","0.29727"
"cuda","8","3",1,"32","8","0.285926"
"cuda","8","3",1,"24","16","0.280132"
"cuda","32","1",1,"16","8","0.294839"
"cuda","16","3",1,"64","32","launching update_cell_kernel: invalid configuration argu"
"omp","128","1","8",0,0,"0.142211"
"cuda","128","2",1,"8","8","0.444694"
"cuda","64","2",1,"32","16","0.254977"
"cuda","8","2",1,"24","8","0.294891"
"cuda","16","1",1,"64","16","0.611644"
"cuda","128","2",1,"24","32","0.29675"
"omp","128","3","2",0,0,"0.523947"
"omp","64","3","1",0,0,"0.140703"
"cuda","32","3",1,"32","24","0.292607"
"omp","16","2","5",0,0,"0.0100201"
"cuda","8","1",1,"32","24","0.295609"
"omp","32","3","5",0,0,"0.020071"
"cuda","64","1",1,"64","32","launching update_cell_kernel: invalid configuration argu"
"serial","256","2",1,0,0,"2.3319"
"cuda","8","1",1,"16","32","0.29278"
"cuda","64","2",1,"64","32","launching update_cell_kernel: invalid configuration argu"
"cuda","64","2",1,"16","16","0.288123"
"cuda","64","3",1,"8","64","0.318977"
"omp","32","1","5",0,0,"0.0198722"
"cuda","32","3",1,"24","16","0.302588"
"omp","16","2","4",0,0,"0.0109249"
"serial","64","1",1,0,0,"0.138939"
"cuda","64","1",1,"24","16","0.276929"
"omp","256","1","8",0,0,"0.546352"
"cuda","256","3",1,"32","8","0.300922"
"omp","64","2","7",0,0,"0.0452259"
"omp","128","3","8",0,0,"0.142455"
"omp","128","1","6",0,0,"0.183922"
